3135e501 4d60b514 3f1fa90a 3f1fa8fb 3f1fa10a 3f1e6000
c4534043 c437e374 4917bea2 4917be12 4917bb98 4916d500
bf21a712 bec8c9b6 3e7d93ca 3e7d92c8 3e7d7c70 3e7b9000
3ff6c898 3fa3a333 401dbf0c 401dbe79 401db678 401ca200
3f4c136c 3eb8cb14 3e934fd9 3e934f7b 3e93448c 3e92a000
be462316 bf7e5283 3e44d6ac 3e44d631 3e44d1aa 3e447400
3fe4bb59 3f9f6bc1 400e70a3 400e6fbf 400e5f12 400d9c00
4415beed 43ba5422 4859fbdd 4859fa5d 4859e14e 48588400
c40fcadb c3e86b0e 48828bf8 48828b29 48827be8 48819800
3fa25f74 3fd9e870 400a3657 400a35ad 400a23d6 40095200
3f909533 3fe85318 40033624 400335e8 40032fad 40028000
a8c20da3 a3c668f9 0d16661e 0d1664e3 0d1654c0 0d160c00
3f8acd92 3fa31ad7 3fb0dee3 3fb0dd40 3fb0c1d8 3fafbc00
4f4dd62a b4507fec c427a4dd c427a3fd c427930b c4269000
3f3986c3 bed40790 be99a915 be99a80b be999e00 be993400
ced15dc5 cdb06ae0 5d1047df 5d1046a1 5d10357e 5d0fb000
2bb1993c a8fb40be 952e4e28 952e4d69 952e4494 952d8b00
4c1a34e0 4d23abe5 59c52e6c 59c52c39 59c519dc 59c41c00
3f384343 bdd4b259 bd991812 bd99179b bd9913ac bd986000
bec72d57 bf589131 3ea87f38 3ea87ec8 3ea87302 3ea7e800
bf0f9cf7 beea6321 3e837d16 3e837c21 3e836f76 3e82b600
c45a7797 c288d7e6 47698f8e 47698d64 476979f6 4767a000
c40ecd4c 43eec540 c88530e4 c885307a c8852190 c8840400
3fa2f12a 3fc93f6f 400017ba 40001752 40000cfd 3ffe6400
3fc0dc63 3f899d28 3fcf58ad 3fcf5806 3fcf378a 3fcd8000
3f4501d0 bd53bf1b bd22f390 bd22f2cf bd22e670 bd225f00
44184e12 c458b5aa c900edf4 c900ed7f c900deac c9004000
3feec28b 3feefc06 405ee3ea 405ee363 405ed654 405d4400
a242c7b9 afe1490f 12ab6920 12ab6872 12ab5b70 12aa8200
3fa1e91d 3fe804ae 4012be38 4012bdb0 4012b300 4011e800
c2738cdb c2bb6612 45b248ff 45b2484e 45b239d0 45b18100
3fa8f22d 3f855726 3faffeaa 3faffe48 3faff2f6 3fae9000
3fb233a3 3f93a1bf 3fcd887c 3fcd86b6 3fcd81dc 3fcc6c00
4307b881 4462c9ae 47f0779c 47f075ff 47f05e48 47ee5c00
431ed0ae 43931d53 4736880a 473686db 473676ba 47357400
3fc91a8e 3fe0498c 40303103 40303018 40302044 402fe000
3e36dafa 3f1b05c4 3ddd7567 3ddd7321 3ddd5fe0 3ddc6400
3f995cc9 3fca96c6 3ff2bb13 3ff2b8e8 3ff29eba 3ff17400
d0153d60 41e8922a d28794d4 d2879465 d287876b d2870800
29c5c0c9 cdb39615 b80ab9bc b80ab91e b80ab47c b809bf00
be82c8ed 3daacc11 bcae835c bcae820f bcae6b20 bcaca800
3df261b8 bf493404 bdbe7ff9 bdbe7f65 bdbe7ad2 bdbe0200
53764109 c59ff041 d999d980 d999d93c d999d89c d998ca00
abecb11e 5805aac3 c4772bcd c4772a45 c47716bc c4753800
bf1d7159 bd79968b 3d197fd5 3d197f29 3d197a7f 3d18b500
bf5c1241 bf284e1b 3f10af1f 3f10aedd 3f10a184 3f106000
3fbe56fa 3fc31392 40110acd 401109a2 401102d5 4010ba00
4e380619 29ad4327 387918c9 3879186f 38790c00 3878b000
3fe017aa 3f8ee45f 3ffa2a11 3ffa28ad 3ffa19dc 3ff88000
bec19c7e 3f101333 be59ed18 be59ec3d be59da32 be592000
3f81a0db 3fef85c8 3ff291d5 3ff28f70 3ff28a60 3ff0de00
2b3a5609 c94101df b50c7c39 b50c7b90 b50c7650 b50c3a00
c43470d5 c3d77732 4897dec7 4897ddf0 4897d901 48972c00
3f9bb7bd 3f90a748 3faffa36 3faff909 3fafe89c 3fae6000
c28ccfdb c38f7d75 469dda3a 469dd8c4 469db9a8 469c6800
bee0614a bf6ea336 3ed12980 3ed1290c 3ed1257c 3ed04000
b160a9c3 cfb3c83e 419dc66e 419dc5af 419db858 419ca000
be3f1de2 3f463522 be13f8c7 be13f7ff be13ea33 be13ba00
3ff58345 3fa7bf6f 4020e039 4020dfa2 4020cf48 401fd300
c3f6e20d c4343d02 48add1c7 48add1bc 48adc3ca 48acf800
dbcd1dd1 5112ace7 ed6b0b15 ed6b08b3 ed6ae694 ed69d400
bd48feaa bf3c9099 3d140c8c 3d140b97 3d140147 3d12e000
36590ef5 ae73efcb a54ed484 a54ed2ee a54eb8e0 a54dfb00
3f8bdc42 3faa7043 3fba3b32 3fba3a90 3fba2a96 3fb89c00
445afac6 c4697cde c947b90e c947b79b c947a439 c9466a00
3e64949d bf5dab68 be45ed58 be45ec73 be45df2a be44d400
3fc8c79d 3fbab9a8 401272a4 401271ae 40126584 40115000
3fde5cb0 3fd6dcfe 403aa16f 403a9fff 403a8b81 40399400
46940dbb 58b49eb2 5fd0eade 5fd0e908 5fd0c680 5fd02000
d07225d2 dd220da9 6e1948db 6e1947b6 6e193840 6e192400
3f62b3f7 3f6437d2 3f4a19b7 3f4a1820 3f4a0f41 3f494800
37f858c9 b9aff856 b22ab59b b22ab4bd b22aa77b b2298800
3fbc50ab 3fb95e91 40085bdc 40085af5 400850a9 4007dc00
c3066463 c4341757 47bd15ad 47bd14c6 47bd07cc 47bc7000
bf60bfbd 3f020b64 bee456bc bee4554c bee432c0 bee38000
43abe402 44172af0 484b00a3 484aff5f 484aed38 4849ba00
bf9dec45 bfa6e704 3fcdeb6f 3fcdeb10 3fcdd2c8 3fcb9c00
cf2fe52f 34d17254 c48fe8a9 c48fe849 c48fe2d2 c48edf00
c444ca39 43c5221c c89789d6 c8978995 c8978058 c896d400
c3cba2a9 43880a8b c7d86d99 c7d86c09 c7d85a00 c7d7b000
3f845c9f 3fb3c0b9 3fb9e0d1 3fb9df32 3fb9ce58 3fb89800
3fa07005 3fac924e 3fd84de8 3fd84d80 3fd84afe 3fd70000
554b81c6 cf5a7146 e52da68f e52da5ae e52da408 e52cde00
446adcc2 c414d1ab c90887fb c90886ee c9087f09 c9074800
c3f673ad c415d988 489042bf 489041d6 4890376b 488f2e00
c3d567b3 435295a5 c7af8bd0 c7af8ab3 c7af80c6 c7aeba00
3ffecd1a 3ff99bd3 40787096 40786fab 4078580c 40770e00
3fc2b629 3fccf78d 401be572 401be4e6 401bdac5 401a9800
43ca6523 c3a41737 c801bb25 c801bae3 c801b226 c8016800
b5008c61 a3c66846 194741de 19474102 19472660 19460000
c414c268 c3a6ba64 4841c4be 4841c3c2 4841b588 483ff000
a583f337 5937b4eb bf3d6039 bf3d5ef8 bf3d568a bf3b4a00
43d073a9 c47546ff c8c7b880 c8c7b70e c8c7af4c c8c71000
307af9d8 57516600 484d49f9 484d4948 484d3c0a 484c1a00
c3b5f2fc c46c08a2 48a7c223 48a7c0c8 48a7b940 48a6dc00
3f83416d 3f902622 3f93d0b5 3f93d017 3f93c8d0 3f936000
438536ec c447c751 c84fead3 c84fe90e c84fd868 c84ec600
3f4e3cd9 bea87f29 be87be60 be87bdb0 be87a9b5 be873000
c3a700ca c44ebaf3 4886dc98 4886db56 4886d4d0 48866200
d1569388 c24f17c5 542d9537 542d9424 542d8bd9 542d0a00
c3efb1a6 43274875 c79ca0bb c79c9fe1 c79c97bc c79be900
5ae897c8 c7c268a6 e330a21a e330a0eb e3309456 e32fd000
44435baf c45892ad c925454a c9254432 c925395d c9248800
43c1125d 441c126e 486b6a2e 486b6917 486b63a2 486b3800
440f467c c2be622e c7551a86 c755199a c7550e70 c7544400
ac0484c8 54fd2531 c1830a7a c183099b c1830310 c1827400
443709c5 c342f02c c80b6120 c80b606a c80b5990 c80aae00
3fc0a8e6 3f810ba8 3fc23bc3 3fc239de 3fc22140 3fc18000
bdeaa43c bf19d3ee 3d8cfe67 3d8cfd69 3d8cf842 3d8bda00
40a4917c 44386d23 456d1d73 456d1c93 456d0a6c 456bc000
56288b8e d178356d e8236a5e e823698d e8235b98 e822c000
bf4e9584 bf6881be 3f3ba032 3f3b9f21 3f3b99c8 3f3ab000
394a2209 cd4170d2 c718bcbd c718bc11 c718ba8e c7184a00
c301396d 4461a3e4 c7e3cc67 c7e3cac1 c7e3b7dc c7e2c200
370ffef1 c8342896 bfcaac2b bfcaaa2f bfca8d7c bfc91800
53cfd720 cd49bc48 e1a3c8c5 e1a3c871 e1a3b92f e1a28700
441ee1fa c472fd50 c916ced5 c916cdb6 c916c4b2 c9155c00
bf1c7f85 bd6cd190 3d10c5ab 3d10c4d8 3d10b65b 3d0fd000
3ec4ff21 b0b6e242 b00cbb7d b00cbb33 b00caef2 b00b5800
c45da58b c3f758a5 48d62779 48d62664 48d61aa2 48d53b00
cd4520f5 cd4078ea 5b1435d3 5b143467 5b142e3e 5b13c000
3fd41241 3f9627b0 3ff8c725 3ff8c5b5 3ff8b7c4 3ff87000
3f5034b2 3f6b8fcc 3f3f9553 3f3f9409 3f3f8428 3f3ef000
